store_code,id,quantity,availability,pickup_method,pickup_sla,product_name
1010,hr-100,10,in stock,buy,same_day,"Swing Rack for 50', 75' & 100' x 1-1/2"" Single Jacket Lined Fire Hose"
1010,b500x5,0,in stock,buy,next_day,Amerex B500X - 5lb ABC Multi-Purpose Fire Extinguisher - 5 Pack
1010,cl-r2-rl,0,in stock,buy,next_day,Double LED Emergency Light Remote Head - 6-24V5W
1010,ec-111-292,1,in stock,buy,same_day,Fire Extinguisher Cabinet - 5lb Semi-Recessed
1010,tfsar-50,1,in stock,buy,same_day,"Fully Assembled 50' x 1-1/2"" Fire Hose Rack"
1010,468094-428,3,in stock,buy,same_day,Kidde 3 Storey Escape Ladder
1010,330x,1,in stock,buy,same_day,10lb Fire Extinguisher - Amerex 330 Carbon Dioxide
1010,rq-4jdk-3uex,5,in stock,buy,same_day,Strike First SF1020 | 20lb ABC | UL/ULC & USCG Approved | Industrial
1010,ve2-rm-sp-l-u-olr-m,0,in stock,buy,next_day,Running Man LED Sign
1010,01521-1064,10,in stock,buy,same_day,Amerex Wall Bracket - 2.5lb / 5lb ABC
1010,rlss-b650,10,in stock,buy,same_day,Emergency Light Battery 6V5AH
1010,d4120_dst3,0,in stock,buy,next_day,System Sensor – D4120 4-Wire Photoelectric Duct Smoke Detector and 3′ Sampling Tube
1010,s10,10,in stock,buy,same_day,"Single Stage Alarm Pull Station Label - ""do Not Use Elevator"""
1010,b479tx,1,in stock,buy,same_day,Amerex B479T - 5lb Purple K | Class B C Fire Extinguisher
1010,sf340-vb,10,in stock,buy,same_day,Strike First SF340 I 5lb 3A40B:C I UL/ULC & USCG Approved I Mixed Use w/ Vehicle Bracket
1010,ru65b,10,in stock,buy,same_day,Sprinkler Head Upright 155 Degree Celsius
1010,e-fec-5-1038,5,in stock,buy,same_day,"Fire Extinguisher Cover (Window) for 2.5 to 5lb Extinguisher (16"" x 11"")"
1010,21032773,10,in stock,buy,same_day,Kidde DETECT - 120V Photoelectric Smoke + Carbon Monoxide Alarm w/AA Backup Battery (30CUAR-VCA) - Batteries Included
